Well,Time,Observed,Simulated
699-99-42B,2015-12-16,115.344,115.1321
699-99-42B,2016-01-16,115.3817,115.2259
699-99-42B,2016-02-15,115.4608,115.3326
699-99-42B,2016-03-16,115.6234,115.5038
699-99-42B,2016-04-15,116.1271,115.9446
699-99-42B,2016-05-16,116.1625,116.1526
699-99-42B,2016-06-15,115.977,115.9684
699-99-42B,2016-07-16,115.7589,115.737
699-99-42B,2016-08-16,115.5574,115.4358
699-99-42B,2016-09-15,115.1078,115.0225
699-99-42B,2016-10-16,115.1302,114.828
699-99-42B,2016-11-15,115.624,115.1157
699-99-42B,2016-12-16,115.7493,115.5041
699-99-42B,2017-01-16,115.9401,115.7505
699-99-42B,2017-02-14,115.7878,115.7755
699-99-42B,2017-03-16,116.0933,115.9691
699-99-42B,2017-04-15,116.9318,116.5922
699-99-42B,2017-05-16,117.4333,117.2196
699-99-42B,2017-06-15,117.3491,117.3615
699-99-42B,2017-07-16,116.1353,116.5643
699-99-42B,2017-08-16,115.7178,115.5907
699-99-42B,2017-09-15,115.3876,115.1358
699-99-42B,2017-10-16,115.0451,114.8041
699-99-42B,2017-11-15,115.171,114.7623
699-99-42B,2017-12-16,115.401,115.0971
699-99-42B,2018-01-16,115.7911,115.5287
699-99-42B,2018-02-14,116.1434,115.9508
699-99-42B,2018-03-16,115.8225,115.9124
699-99-42B,2018-04-15,116.0046,115.8849
699-99-42B,2018-05-16,117.8241,117.067
699-99-42B,2018-06-15,116.9599,117.3618
699-99-42B,2018-07-16,116.0668,116.2871
699-99-42B,2018-08-16,115.7318,115.6035
699-99-42B,2018-09-15,115.2535,115.0747
699-99-42B,2018-10-16,115.0805,114.7444
699-99-42B,2018-11-15,115.6,114.9344
699-99-42B,2018-12-16,115.5209,115.1471
699-99-42B,2019-03-16,115.3423,115.0888
699-99-42B,2019-04-15,115.1009,114.9652
699-99-42B,2019-05-16,115.9847,115.502
699-99-42B,2019-06-15,115.8639,115.8301
699-99-42B,2019-07-16,115.4767,115.4551
699-99-42B,2019-08-16,115.4978,115.2252
699-99-42B,2019-09-15,115.0472,114.8724
699-99-42B,2019-10-16,114.808,114.5376
699-99-42B,2019-11-15,115.3581,114.8314
699-99-42B,2019-12-16,115.3691,115.1233
699-99-42B,2020-01-16,115.4405,115.2267
699-99-42B,2020-02-14,115.7377,115.4809
699-99-42B,2020-03-16,115.3808,115.3326
699-99-42B,2020-04-15,115.1842,115.0507
699-99-42B,2020-05-16,116.4474,115.8328
699-99-42B,2020-06-15,117.0997,116.7908
699-99-42B,2020-07-16,116.5523,116.6632
699-99-42B,2020-08-16,115.9613,115.9932
699-99-42B,2020-10-16,115.175,114.846
9-199-H1-38,2017-11-15,,114.7552
9-199-H1-46,2016-03-16,,115.4345
9-199-H1-48,2018-01-16,,115.1341
199-H4-92,2015-08-16,,116.9645
199-H4-92,2015-10-16,,116.8975
199-H4-92,2016-01-16,,116.8257
199-H4-92,2016-04-15,,116.8464
699-94-43,2014-02-14,117.433,117.2232
699-94-43,2014-03-16,117.437,117.2242
699-94-43,2014-06-15,117.419,117.3381
699-94-43,2014-08-16,117.543,117.4862
699-94-43,2014-11-15,117.516,117.4832
699-94-43,2015-02-14,117.49,117.3857
699-94-43,2015-03-16,117.47,117.3689
699-94-43,2015-05-16,117.485,117.3414
699-94-43,2015-08-16,117.482,117.3122
699-94-43,2015-11-15,117.39,117.2206
699-94-43,2016-02-15,117.346,117.1671
699-94-43,2016-03-16,117.354,117.167
699-94-43,2016-05-16,117.434,117.2277
699-94-43,2016-10-16,117.086,117.1216
699-94-43,2017-03-16,116.849,116.918
699-94-43,2017-04-15,116.869,116.9471
699-94-43,2017-05-16,116.9565,117.032
699-94-43,2017-06-15,117.0764,117.1492
699-94-43,2017-07-16,117.2364,117.2667
699-94-43,2017-08-16,117.408,117.3651
699-94-43,2017-09-15,117.557,117.4404
699-94-43,2017-10-16,117.5119,117.4354
699-94-43,2017-11-15,117.4389,117.3689
699-94-43,2017-12-16,117.3726,117.305
699-94-43,2018-01-16,117.3152,117.2555
699-94-43,2018-02-14,117.2777,117.2293
699-94-43,2018-03-16,117.2877,117.2217
699-94-43,2018-04-15,117.2829,117.2239
699-94-43,2018-05-16,117.3281,117.2605
699-94-43,2018-06-15,117.4071,117.3312
699-94-43,2018-07-16,117.4817,117.4009
699-94-43,2018-08-16,117.5467,117.4476
699-94-43,2018-09-15,117.5444,117.4517
699-94-43,2018-10-16,117.5168,117.4182
699-94-43,2018-11-15,117.4909,117.3783
699-94-43,2018-12-16,117.453,117.3319
699-94-43,2019-01-16,117.4236,117.2929
699-94-43,2019-02-14,117.4106,117.267
699-94-43,2019-03-16,117.3944,117.2428
699-94-43,2019-04-15,117.3757,117.2133
699-94-43,2019-05-16,117.3055,117.1824
699-94-43,2019-06-15,117.274,117.1688
699-94-43,2019-07-16,117.3189,117.1705
699-94-43,2019-08-16,117.3213,117.178
699-94-43,2019-09-15,117.3117,117.1805
699-94-43,2019-10-16,117.2754,117.1656
699-94-43,2019-11-15,117.2363,117.1374
699-94-43,2020-03-16,117.13,117.0445
699-94-43,2020-10-16,117.24,117.2023
699-95-45,2014-02-14,117.465,117.3829
699-95-45,2014-03-16,117.474,117.3829
699-95-45,2014-06-15,117.534,117.5117
699-95-45,2014-08-16,117.733,117.6779
699-95-45,2014-11-15,117.608,117.6581
699-95-45,2015-02-14,117.59,117.5905
699-95-45,2015-03-16,117.587,117.6028
699-95-45,2015-05-16,117.587,117.6091
699-95-45,2015-08-16,117.553,117.6079
699-95-45,2015-11-15,117.546,117.5942
699-95-45,2016-02-15,117.642,117.5958
699-95-45,2016-03-16,117.663,117.6106
699-95-45,2016-05-16,117.821,117.7236
699-95-45,2016-10-16,117.522,117.7327
699-95-45,2017-03-16,117.25,117.3198
699-95-45,2017-10-16,118.008,118.044
699-95-45,2018-03-16,117.911,117.9648
699-95-45,2018-10-16,118.011,118.1632
699-95-45,2019-03-16,117.7077,117.8653
699-95-45,2019-04-15,117.5702,117.7999
699-95-45,2019-05-16,117.5129,117.7426
699-95-45,2019-06-15,117.5586,117.7305
699-95-45,2019-07-16,117.583,117.744
699-95-45,2019-08-16,117.5917,117.7591
699-95-45,2019-09-15,117.585,117.7577
