"NAME","XCOORDS","YCOORDS","EVENT","VAL","TYPE"
"RIV_CP_11",572994.975,152135.33,5,118.316188892025,"RIV_CP"
"RIV_CP_12",573696.805,152878.56,5,118.046260931149,"RIV_CP"
"RIV_CP_13",574010.03,153615.74,5,117.835556347534,"RIV_CP"
"RIV_CP_14",574235.45,154240.65,5,117.661920762247,"RIV_CP"
"RIV_CP_15",574479.345,154496.52,5,117.568276142929,"RIV_CP"
"RIV_CP_16",575201.67,154589.815,5,117.363429446851,"RIV_CP"
"RIV_CP_17",576120.135,154370.755,5,117.113705135023,"RIV_CP"
"RIV_CP_18",577012.305,153886.61,5,116.848372169572,"RIV_CP"
"RIV_CP_19",577848.53,153261.14,5,116.599009187529,"RIV_CP"
"RIV_CP_20",578660.36,152182.275,5,116.326723712872,"RIV_CP"
"RIV_CP_21",579397.24,150484.89,5,115.952832293295,"RIV_CP"
"RIV_CP_22",579907.845,149251.085,5,115.68063987799,"RIV_CP"
"RIV_CP_23",581350.665,148229.41,5,115.323203199413,"RIV_CP"
"RIV_CP_24",582843.31,146570.205,5,114.734530318342,"RIV_CP"
"RIV_CP_25",583296.74,144918.47,5,113.664811805248,"RIV_CP"
"RIV_CP_26",583698.115,143550.025,5,112.660818499899,"RIV_CP"
"RIV_CP_27",584679.365,142053.34,5,111.58394196453,"RIV_CP"
"RIV_CP_28",585744.635,140744.36,5,111.048665798715,"RIV_CP"
"RIV_CP_29",586560.4,139773.885,5,110.841181992958,"RIV_CP"
"RIV_CP_30",588483.895,138335.155,5,110.448179212586,"RIV_CP"
"RIV_CP_31",590500.885,136621.33,5,110.01129406952,"RIV_CP"
"RIV_CP_32",591298.77,135385.53,5,109.769651210748,"RIV_CP"
"RIV_CP_33",592526.29,134248.62,5,109.486519886042,"RIV_CP"
"RIV_CP_34",594136.51,132188.4,5,109.040002407156,"RIV_CP"
"RIV_CP_35",594665.435,130484.305,5,108.739951068148,"RIV_CP"
"RIV_CP_36",594648.18,129383.64,5,108.559342359751,"RIV_CP"
"RIV_CP_37",594889.435,127880.99,5,108.310371144302,"RIV_CP"
"RIV_CP_38",595046.59,126215.585,5,108.034555125322,"RIV_CP"
"RIV_CP_39",595165,123933.88,5,107.661092331579,"RIV_CP"
"RIV_CP_40",595098.76,121005.25,5,107.180218650017,"RIV_CP"
"RIV_CP_41",594655.965,118429.83,5,106.753081195016,"RIV_CP"
"RIV_CP_42",595016.1,113778.59,5,105.981665930861,"RIV_CP"
"RIV_CP_43",594338.835,105531.415,5,104.606142674182,"RIV_CP"
"RIV_CP_01",550114.325,143742.035,6,123.801850042865,"RIV_CP"
"RIV_CP_02",554633.79,144304.29,6,122.584164569263,"RIV_CP"
"RIV_CP_03",558566.085,145454.23,6,121.387967118332,"RIV_CP"
"RIV_CP_04",560043.375,146167.09,6,120.911641873996,"RIV_CP"
"RIV_CP_05",561331.08,146355.965,6,120.530150750348,"RIV_CP"
"RIV_CP_06",563178.115,145883.48,6,119.971923686129,"RIV_CP"
"RIV_CP_07",564867.72,145463.455,6,119.472301869107,"RIV_CP"
"RIV_CP_08",566845.175,146186.655,6,119.044982936098,"RIV_CP"
"RIV_CP_09",569628.205,148212.56,6,118.349250591732,"RIV_CP"
"RIV_CP_10",571679.61,150577.26,6,117.591881083698,"RIV_CP"
"RIV_CP_11",572994.975,152135.33,6,116.99434352676,"RIV_CP"
"RIV_CP_12",573696.805,152878.56,6,116.708609142154,"RIV_CP"
"RIV_CP_13",574010.03,153615.74,6,116.483906648394,"RIV_CP"
"RIV_CP_14",574235.45,154240.65,6,116.298735788082,"RIV_CP"
"RIV_CP_15",574479.345,154496.52,6,116.198869999085,"RIV_CP"
"RIV_CP_16",575201.67,154589.815,6,115.980414554701,"RIV_CP"
"RIV_CP_17",576120.135,154370.755,6,115.714100103171,"RIV_CP"
"RIV_CP_18",577012.305,153886.61,6,115.431140055549,"RIV_CP"
"RIV_CP_19",577848.53,153261.14,6,115.159309882255,"RIV_CP"
"RIV_CP_20",578660.36,152182.275,6,114.848385241937,"RIV_CP"
"RIV_CP_21",579397.24,150484.89,6,114.421394898499,"RIV_CP"
"RIV_CP_22",579907.845,149251.085,6,114.110546543048,"RIV_CP"
"RIV_CP_23",581350.665,148229.41,6,113.723015435038,"RIV_CP"
"RIV_CP_24",582843.31,146570.205,6,113.164514237939,"RIV_CP"
"RIV_CP_25",583296.74,144918.47,6,112.166189105691,"RIV_CP"
"RIV_CP_26",583698.115,143550.025,6,111.229202658257,"RIV_CP"
"RIV_CP_27",584679.365,142053.34,6,110.224197232598,"RIV_CP"
"RIV_CP_28",585744.635,140744.36,6,109.724645581875,"RIV_CP"
"RIV_CP_29",586560.4,139773.885,6,109.531009316552,"RIV_CP"
"RIV_CP_30",588483.895,138335.155,6,109.164235676677,"RIV_CP"
"RIV_CP_31",590500.885,136621.33,6,108.756508398062,"RIV_CP"
"RIV_CP_32",591298.77,135385.53,6,108.530992866651,"RIV_CP"
"RIV_CP_33",592526.29,134248.62,6,108.266757823768,"RIV_CP"
"RIV_CP_34",594136.51,132188.4,6,107.850041074733,"RIV_CP"
"RIV_CP_35",594665.435,130484.305,6,107.570015265111,"RIV_CP"
"RIV_CP_36",594648.18,129383.64,6,107.401460443923,"RIV_CP"
"RIV_CP_37",594889.435,127880.99,6,107.169105652876,"RIV_CP"
"RIV_CP_38",595046.59,126215.585,6,106.911697689704,"RIV_CP"
"RIV_CP_39",595165,123933.88,6,106.563159931042,"RIV_CP"
"RIV_CP_40",595098.76,121005.25,6,106.114379924093,"RIV_CP"
"RIV_CP_41",594655.965,118429.83,6,105.715749769494,"RIV_CP"
"RIV_CP_42",595016.1,113778.59,6,104.99581902493,"RIV_CP"
"RIV_CP_43",594338.835,105531.415,6,103.712098662681,"RIV_CP"
"RIV_CP_01",550114.325,143742.035,7,123.685984555198,"RIV_CP"
"RIV_CP_02",554633.79,144304.29,7,122.471767141726,"RIV_CP"
"RIV_CP_03",558566.085,145454.23,7,121.278976551415,"RIV_CP"
"RIV_CP_04",560043.375,146167.09,7,120.804007917323,"RIV_CP"
"RIV_CP_05",561331.08,146355.965,7,120.423603309188,"RIV_CP"
"RIV_CP_06",563178.115,145883.48,7,119.866966117778,"RIV_CP"
"RIV_CP_07",564867.72,145463.455,7,119.368562595701,"RIV_CP"
"RIV_CP_08",566845.175,146186.655,7,118.939592885031,"RIV_CP"
"RIV_CP_09",569628.205,148212.56,7,118.250151300753,"RIV_CP"
"RIV_CP_10",571679.61,150577.26,7,117.506213138533,"RIV_CP"
"RIV_CP_11",572994.975,152135.33,7,116.912033177205,"RIV_CP"
"RIV_CP_12",573696.805,152878.56,7,116.6251172191,"RIV_CP"
"RIV_CP_13",574010.03,153615.74,7,116.399372218235,"RIV_CP"
"RIV_CP_14",574235.45,154240.65,7,116.213342257812,"RIV_CP"
"RIV_CP_15",574479.345,154496.52,7,116.113013141539,"RIV_CP"
"RIV_CP_16",575201.67,154589.815,7,115.893544173233,"RIV_CP"
"RIV_CP_17",576120.135,154370.755,7,115.625994155941,"RIV_CP"
"RIV_CP_18",577012.305,153886.61,7,115.341721315325,"RIV_CP"
"RIV_CP_19",577848.53,153261.14,7,115.068187515147,"RIV_CP"
"RIV_CP_20",578660.36,152182.275,7,114.754279452037,"RIV_CP"
"RIV_CP_21",579397.24,150484.89,7,114.323189113948,"RIV_CP"
"RIV_CP_22",579907.845,149251.085,7,114.009355968293,"RIV_CP"
"RIV_CP_23",581350.665,148229.41,7,113.61931787294,"RIV_CP"
"RIV_CP_24",582843.31,146570.205,7,113.062137489468,"RIV_CP"
"RIV_CP_25",583296.74,144918.47,7,112.067344755486,"RIV_CP"
"RIV_CP_26",583698.115,143550.025,7,111.133673670148,"RIV_CP"
"RIV_CP_27",584679.365,142053.34,7,110.132224279802,"RIV_CP"
"RIV_CP_28",585744.635,140744.36,7,109.634440204919,"RIV_CP"
"RIV_CP_29",586560.4,139773.885,7,109.441489087536,"RIV_CP"
"RIV_CP_30",588483.895,138335.155,7,109.076013211815,"RIV_CP"
"RIV_CP_31",590500.885,136621.33,7,108.669728604616,"RIV_CP"
"RIV_CP_32",591298.77,135385.53,7,108.445011020333,"RIV_CP"
"RIV_CP_33",592526.29,134248.62,7,108.181710926774,"RIV_CP"
"RIV_CP_34",594136.51,132188.4,7,107.766468656818,"RIV_CP"
