NAME,EVENT,TYPE,VAL
299-W15-11,2022-02-14 10:06:00,MAN,133.69299999999998
299-W14-72,2022-02-14 10:40:00,MAN,125.14200000000001
299-W19-105,2022-02-14 11:00:00,MAN,129.14700000000002
299-W14-19,2022-02-14 11:01:00,MAN,128.381
299-W23-4,2022-02-14 11:36:00,MAN,132.875
699-14-38,2022-02-15 07:47:00,MAN,123.384
299-W14-18,2022-02-15 07:52:00,MAN,127.691
299-W10-26,2022-02-15 08:46:00,MAN,128.424
299-W14-15,2022-02-15 09:32:00,MAN,127.814
199-H4-64,2022-02-15 09:55:00,MAN,115.337
299-W14-14,2022-02-15 10:25:00,MAN,128.173
699-74-44,2022-02-15 10:44:00,MAN,121.178
699-71-52,2022-02-15 12:15:00,MAN,121.041
699-73-61,2022-02-15 12:44:00,MAN,121.351
299-W19-115,2022-02-16 08:10:00,MAN,129.181
299-W14-17,2022-02-16 08:10:00,MAN,127.425
699-24-33,2022-02-16 08:16:00,MAN,121.34100000000001
299-W19-34A,2022-02-16 08:26:00,MAN,127.26100000000001
699-31-31,2022-02-16 08:28:00,MAN,121.302
699-34-39A,2022-02-16 08:40:00,MAN,121.412
299-W19-34B,2022-02-16 08:46:00,MAN,127.89200000000001
699-37-43,2022-02-16 08:48:00,MAN,121.43700000000001
699-37-47A,2022-02-16 08:56:00,MAN,121.45200000000001
299-E17-18,2022-02-16 09:09:00,MAN,121.45100000000001
299-W19-6,2022-02-16 09:12:00,MAN,130.4
299-W19-43,2022-02-16 09:23:00,MAN,126.868
299-E17-23,2022-02-16 09:25:00,MAN,121.46799999999999
299-E17-25,2022-02-16 09:42:00,MAN,121.484
299-W17-1,2022-02-16 09:54:00,MAN,136.94299999999998
299-E17-22,2022-02-16 09:56:00,MAN,121.454
299-E24-21,2022-02-16 10:06:00,MAN,121.475
299-W14-16,2022-02-16 10:13:00,MAN,127.505
299-E24-24,2022-02-16 10:21:00,MAN,121.464
299-E17-21,2022-02-16 10:29:00,MAN,121.485
699-43-43B,2022-02-16 10:46:00,MAN,121.708
699-2-3,2022-02-16 10:56:00,MAN,117.619
299-W15-37,2022-02-16 10:58:00,MAN,132.096
699-50-56,2022-02-16 11:00:00,MAN,121.535
699-49-57A,2022-02-16 11:09:00,MAN,121.50299999999999
699-49-55A,2022-02-16 11:18:00,MAN,121.523
699-47-55,2022-02-16 11:27:00,MAN,121.51799999999999
699-47-60,2022-02-16 11:38:00,MAN,121.62200000000001
699-46-61,2022-02-16 11:50:00,MAN,121.89200000000001
199-B5-8,2022-02-16 12:23:00,MAN,121.74600000000001
299-W10-33,2022-02-16 12:25:00,MAN,130.464
199-B8-6,2022-02-16 12:31:00,MAN,121.82
699-66-103,2022-02-16 12:52:00,MAN,123.06200000000001
299-W5-2P,2022-02-17 07:41:00,MAN,126.316
299-W5-2Q,2022-02-17 07:41:00,MAN,126.316
699-49-100C,2022-02-17 08:17:00,MAN,140.821
299-E24-22,2022-02-17 08:36:00,MAN,121.48899999999999
299-E24-33,2022-02-17 08:43:00,MAN,121.491
299-E25-93,2022-02-17 08:56:00,MAN,121.491
299-E25-35,2022-02-17 09:03:00,MAN,121.48700000000001
299-E25-34,2022-02-17 09:12:00,MAN,121.479
299-E26-13,2022-02-17 09:18:00,MAN,121.49
299-E26-4,2022-02-17 09:23:00,MAN,121.48899999999999
699-61-66,2022-02-17 09:25:00,MAN,121.54700000000001
299-E25-24,2022-02-17 09:32:00,MAN,121.495
299-E25-19,2022-02-17 09:38:00,MAN,121.51
299-E25-36,2022-02-17 09:44:00,MAN,121.48299999999999
299-W15-763,2022-02-17 09:52:00,MAN,129.471
299-E24-18,2022-02-17 10:38:00,MAN,121.461
699-64-62,2022-02-17 10:43:00,MAN,121.492
299-E24-16,2022-02-17 10:48:00,MAN,121.495
699-66-58,2022-02-17 11:11:00,MAN,121.43700000000001
