ID,X,Y,Row,Col,Ztop,Zbot,index,scLen,lenL1,lenL2,lenL3,lenL4,lenL5,lenL6,lenL7,lenL8,lenL9,fL1,fL2,fL3,fL4,fL5,fL6,fL7,fL8,fL9,MaxFrac_Lay,Deepest_Lay,Short,Function,System,Aquifer
199-H1-34_E_HX,576883.13,153667.06,117,514,118.46952,113.89752,74,4.572,1.4795221362300026,1.0699996948250003,1.0699996948240056,0.9524784741209942,,,,,,0.32360502,0.23403318,0.23403318,0.20832863,,,,,,1,4.0,199-H1-34,E,HX,Unconfined
199-H1-35_E_HX,576958.26,153628.14,121,521,117.7986,113.2266,75,4.572,1.0085990844729906,1.220001220702997,1.2099990844720026,1.1334006103519982,,,,,,0.22060347,0.26684191,0.26465422,0.2479004,,,,,,2,4.0,199-H1-35,E,HX,Unconfined
199-H1-36_E_HX,576885.62,153486.51,135,514,118.4456,113.8736,76,4.572,1.7255987792970018,1.0699996948239914,1.0699996948240056,0.706401831055004,,,,,,0.37742755,0.23403318,0.23403318,0.15450609,,,,,,1,4.0,199-H1-36,E,HX,Unconfined
199-H1-37_E_HX,577106.92,153641.63,119,536,118.277648,113.696504,77,4.581144,1.3876486103520025,1.1200027465820028,1.1199951171869884,0.9534975258790012,,,,,,0.30290439,0.24448102,0.24447935,0.20813524,,,,,,1,4.0,199-H1-37,E,HX,Unconfined
199-H1-38_E_HX,577161.0,153555.01,128,542,118.156704,113.581656,78,4.575048,1.3867073569340107,1.1099929809569886,1.1000061035149995,0.9783415585940104,,,,,,0.30310225,0.24261887,0.24043597,0.21384291,,,,,,1,4.0,199-H1-38,E,HX,Unconfined
199-H1-39_E_HX,577223.54,153533.4,130,548,118.5566,113.9846,79,4.572,1.6865972534180005,0.9700012207029972,0.9700012207030112,0.945400305175994,,,,,,0.36889704,0.21216125,0.21216125,0.20678047,,,,,,1,4.0,199-H1-39,E,HX,Unconfined
199-H1-4_E_HX,575826.78,153366.87,147,408,118.365144,115.317144,80,3.048,0.8351452207029979,0.7099990844729973,0.7099990844720026,0.7099990844729973,0.0828575258790067,,,,,0.27399778,0.23293933,0.23293933,0.23293933,0.02718423,,,,,1,4.0,199-H1-4,E,HX,Unconfined
199-H1-40_E_HX,577279.34,153500.19,133,553,118.9406,114.3686,81,4.572,2.0405984741209977,0.9100036621090056,0.9000015258790057,0.7213963378909938,,,,,,0.44632513,0.19903842,0.19685073,0.15778573,,,,,,1,4.0,199-H1-40,E,HX,Unconfined
199-H1-42_E_HX,577127.18,153391.65,144,538,116.043976,112.992928,82,3.051048,,1.1539766103520035,1.360000610350994,0.5370707792969966,,,,,,,0.37822303,0.44574868,0.1760283,,,,,,3,4.0,199-H1-42,E,HX,Unconfined
199-H1-43_E_HX,577213.74,153384.28,145,547,115.5944,112.5464,83,3.048,,1.004403662108999,1.5,0.5435963378909889,,,,,,,0.32952876,0.49212598,0.17834526,,,,,,3,4.0,199-H1-43,E,HX,Unconfined
