index,ID,scLen,lenL1,lenL2,lenL3,lenL4,lenL5,lenL6,lenL7,lenL8,lenL9,fL1,fL2,fL3,fL4,fL5,fL6,fL7,fL8,fL9,MaxFrac_Lay,Deepest_Lay
124,199-H4-79_I_HX,6.092952,1.4473655585940008,1.6000061035149995,1.5899963378909945,1.4555840000000018,,,,,,0.23754751,0.26259949,0.26095665,0.23889635,,,,,,2,4.0
125,199-H4-80_E_DX,10.668,3.3732409155270062,2.309997558593992,2.3000030517580115,2.299995422362997,0.3847630517580001,,,,,0.31620181,0.2165352,0.21559834,0.21559762,0.03606703,,,,,1,4.0
126,199-H4-81_E_DX,6.099048,1.920244643065999,1.450004577637003,1.4400024414060084,1.288796337891,,,,,,0.31484334,0.23774277,0.23610282,0.21131107,,,,,,1,4.0
127,199-H4-82_E_DX,6.071616,2.1672286430659966,1.3500061035160087,1.3499984741209945,1.2043827792970063,,,,,,0.35694429,0.22234708,0.22234583,0.1983628,,,,,,1,4.0
128,199-H4-82_I_DX,6.071616,2.1672286430659966,1.3500061035160087,1.3499984741209945,1.2043827792970063,,,,,,0.35694429,0.22234708,0.22234583,0.1983628,,,,,,1,4.0
129,199-H4-86_E_HX,7.626096,2.480805558594,1.779998779296989,1.7800064086910083,1.585285253417993,,,,,,0.32530479,0.23340891,0.23340991,0.20787638,,,,,,1,4.0
130,199-H4-92_E_HX,7.644384,1.7455827792970098,1.4599990844729973,1.4599990844720026,1.4600067138670028,1.51879633789099,,,,,0.22834839,0.19098976,0.19098976,0.19099076,0.19868132,,,,,1,4.0
131,199-H4-93_E_HX,7.62,3.320896337891,0.9300003051749997,0.9300003051760086,0.9300003051759944,1.509102746582002,,,,,0.43581317,0.12204728,0.12204728,0.12204728,0.19804498,,,,,1,4.0
132,199-H5-16_E_HX,7.86384,2.6547476621090027,1.7099990844729973,1.7099990844729973,1.7099990844720026,0.0790950844729962,,,,,0.33758923,0.2174509,0.2174509,0.2174509,0.01005807,,,,,1,4.0
133,199-H6-2_E_HX,3.048,0.2189018310550068,1.049995422362997,1.0400009155270027,0.7391018310549953,,,,,,0.07181819,0.34448669,0.34120765,0.24248748,,,,,,2,4.0
134,199-H6-2_I_HX,3.048,0.2189018310550068,1.049995422362997,1.0400009155270027,0.7391018310549953,,,,,,0.07181819,0.34448669,0.34120765,0.24248748,,,,,,2,4.0
135,199-H6-7_I_HX,6.096,4.074598168945002,0.8199996948250003,0.8199996948240056,0.3814024414059958,,,,,,0.66840521,0.13451439,0.13451439,0.06256602,,,,,,1,4.0
136,199-H6-8_I_HX,9.1501,1.3039993896479984,2.48999786377,2.4900054931640057,2.48999786377,0.3760993896479903,,,,,0.14251204,0.27212794,0.27212877,0.27212794,0.04110331,,,,,3,4.0
137,699-90-45B_I_HX,18.818,11.843997253417996,2.1800003051760086,2.1800003051759944,2.180000305175,0.4340018310549993,,,,,0.62939724,0.11584655,0.11584655,0.11584655,0.02306312,,,,,1,4.0
138,699-90-47B_I_DX,18.904,12.354999084473008,1.980003356932997,1.9799957275390057,1.9900054931640057,0.5989963378909948,,,,,0.65356533,0.10473992,0.10473951,0.10526902,0.03168622,,,,,1,4.0
139,699-93-48C_I_DX,9.1714,3.4516966430660005,1.9300003051760088,1.9300003051759944,1.859702746582002,,,,,,0.37635439,0.21043683,0.21043683,0.20277196,,,,,,1,4.0
140,699-95-45B_I_HX,6.096,2.557001525879002,1.159996032715,1.1600036621089913,1.159996032715,0.0590027465819957,,,,,0.41945563,0.19028806,0.19028931,0.19028806,0.00967893,,,,,1,4.0
141,699-97-47C_I_HX,3.054096,0.8961806430659891,1.470001220704006,0.6879141362300061,,,,,,,0.29343565,0.48132122,0.22524313,,,,,,,2,3.0
142,699-97-61_E_DX,3.051048,,,,,,,,,3.0510480000000086,,,,,,,,,1.0,9,9.0
143,199-H4-80_I_DX,10.668,3.3732409155270062,2.309997558593992,2.3000030517580115,2.299995422362997,0.3847630517580001,,,,,0.31620181,0.2165352,0.21559834,0.21559762,0.03606703,,,,,1,4.0
144,199-H3-33_E_HX,3.051,,,,,,,,2.149999084472995,0.9010009155270068,,,,,,,,0.70468669,0.29531331,8,9.0
145,199-H1-51_E_HX,3.039,0.4029975585940093,1.0200042724609943,1.019996643065994,0.5960015258790037,,,,,,0.13260861,0.33563813,0.33563562,0.19611765,,,,,,2,4.0
