NAME,WELL_ID,TYPE,STATUS,TD,BOH,ZCOORDS,YCOORDS,XCOORDS,OU
C7015,C7015,VADOSE WELL,IN-USE,25,,207.68,136507.99,574411.24,200-BP-5
C7056,C7056,BORING,DECOMMISSIONED-V,65.4,,227.52,134361.02,573584.49,200-PO-1
C7057,C7057,BORING,DECOMMISSIONED-V,64.6,,227.57,134360.48,573581.75,200-PO-1
C7058,C7058,BORING,DECOMMISSIONED-V,68.2,,227.57,134364.46,573589.44,200-PO-1
C7059,C7059,BORING,DECOMMISSIONED-V,65.1,,227.62,134366.91,573590.53,200-PO-1
C7060,C7060,BORING,DECOMMISSIONED-V,70.7,,227.54,134358.47,573587.67,200-PO-1
C7065,C7065,CANCELLED SITE,DRILLING CANCELLED,,,,,,
C7066,C7066,CANCELLED SITE,DRILLING CANCELLED,,,,,,
C7067,C7067,INSTRUMENT BORING,DECOMMISSIONED-V,102,,204.693,136334.591,566773.9,200-Z-1
C7068,C7068,BORING,DECOMMISSIONED-V,95,,204.578,136333.774,566773.727,200-Z-1
C7071,C7071,INSTRUMENT BORING,IN-USE,216.3,,,127348.384,589591.242,300-FF-5
C7072,C7072,INSTRUMENT BORING,IN-USE,217,,,126827.55,589451.089,300-FF-5
C7073,C7073,INSTRUMENT BORING,IN-USE,236,,,127237.479,589420.714,300-FF-5
C7074,C7074,GROUNDWATER WELL,CANDIDATE FOR DECOMMISSIONING,52.5,,135.8,143345.53,559293.18,100-BC-5
C7134,C7134,CANCELLED SITE,DRILLING CANCELLED,,,,,,
C7135,C7135,CANCELLED SITE,DRILLING CANCELLED,,,,,,
C7136,C7136,CANCELLED SITE,DRILLING CANCELLED,,,,,,
C7137,C7137,CANCELLED SITE,DRILLING CANCELLED,,,,,,
C7138,C7138,CANCELLED SITE,DRILLING CANCELLED,,,,,,
C7139,C7139,CANCELLED SITE,DRILLING CANCELLED,,,,,,
C7140,C7140,CANCELLED SITE,DRILLING CANCELLED,,,,,,
C7146,C7146,CANCELLED SITE,DRILLING CANCELLED,,,,,,
C7147,C7147,CANCELLED SITE,DRILLING CANCELLED,,,,,,
C7152,C7152,CANCELLED SITE,DRILLING CANCELLED,,,,,,
C7153,C7153,BORING,DECOMMISSIONED-V,156,,202.671,134235.58,566692.25,200-UP-1
C7154,C7154,BORING,DECOMMISSIONED-V,117,,202.496,134235.96,566693,200-UP-1
C7155,C7155,BORING,DECOMMISSIONED-V,156,,202.669,134204.32,566705.13,200-UP-1
C7156,C7156,BORING,DECOMMISSIONED-V,142,,202.545,134203.52,566705.06,200-UP-1
C7157,C7157,BORING,DECOMMISSIONED-V,160,,202.528,134180.13,566709.74,200-UP-1
C7158,C7158,BORING,DECOMMISSIONED-V,143,,202.503,134179.3,566709.8,200-UP-1
C7159,C7159,CANCELLED SITE,DRILLING CANCELLED,,,,,,
C7160,C7160,CANCELLED SITE,DRILLING CANCELLED,,,,,,
C7161,C7161,CANCELLED SITE,DRILLING CANCELLED,,,,,,
C7162,C7162,CANCELLED SITE,DRILLING CANCELLED,,,,,,
C7163,C7163,CANCELLED SITE,DRILLING CANCELLED,,,,,,
C7164,C7164,CANCELLED SITE,DRILLING CANCELLED,,,,,,
C7165,C7165,CANCELLED SITE,DRILLING CANCELLED,,,,,,
C7166,C7166,CANCELLED SITE,DRILLING CANCELLED,,,,,,
C7167,C7167,BORING,DECOMMISSIONED-V,152,,203.103,134162.23,566826.1,200-UP-1
C7168,C7168,BORING,DECOMMISSIONED-V,147,,203.024,134162.47,566825.42,200-UP-1
C7169,C7169,BORING,DECOMMISSIONED-V,160,,202.707,134162.7,566789.34,200-UP-1
C7170,C7170,BORING,DECOMMISSIONED-V,152,,202.579,134163,566788.64,200-UP-1
C7171,C7171,BORING,DECOMMISSIONED-V,157.6,,202.663,134178.87,566747.48,200-UP-1
C7172,C7172,BORING,DECOMMISSIONED-V,131,,202.707,134178.06,566747.48,200-UP-1
C7173,C7173,CANCELLED SITE,DRILLING CANCELLED,,,,,,
C7174,C7174,CANCELLED SITE,DRILLING CANCELLED,,,,,,
C7175,C7175,CANCELLED SITE,DRILLING CANCELLED,,,,,,
C7176,C7176,CANCELLED SITE,DRILLING CANCELLED,,,,,,
C7177,C7177,BORING,DECOMMISSIONED-V,157,,202.564,134217.95,566745.88,200-UP-1
C7178,C7178,BORING,DECOMMISSIONED-V,153,,202.459,134217.64,566744.86,200-UP-1
C7179,C7179,BORING,DECOMMISSIONED-V,156,,202.743,134231.53,566745.13,200-UP-1
C7180,C7180,BORING,DECOMMISSIONED-V,154,,202.739,134230.74,566744.93,200-UP-1
C7181,C7181,BORING,DECOMMISSIONED-V,156,,202.528,134247.3,566747.55,200-UP-1
C7182,C7182,CANCELLED SITE,DRILLING CANCELLED,,,,,,
C7183,C7183,BORING,DECOMMISSIONED-V,154,,202.592,134271.96,566752.62,200-UP-1
C7184,C7184,BORING,DECOMMISSIONED-V,143,,202.53,134272.75,566752.57,200-UP-1
C7185,C7185,BORING,DECOMMISSIONED-V,157,,202.707,134258.79,566788.42,200-UP-1
C7186,C7186,BORING,DECOMMISSIONED-V,147,,202.635,134259.13,566787.83,200-UP-1
C7187,C7187,BORING,DECOMMISSIONED-V,24,,203.017,134259.93,566821.26,200-UP-1
C7188,C7188,CANCELLED SITE,DRILLING CANCELLED,,,,,,
C7189,C7189,CANCELLED SITE,DRILLING CANCELLED,,,,,,
C7190,C7190,CANCELLED SITE,DRILLING CANCELLED,,,,,,
C7191,C7191,BORING,DECOMMISSIONED-V,156.6,,203.038,134228.51,566854.02,200-UP-1
C7192,C7192,BORING,DECOMMISSIONED-V,142,,203.103,134227.87,566853.59,200-UP-1
C7193,C7193,CANCELLED SITE,DRILLING CANCELLED,,,,,,
C7194,C7194,CANCELLED SITE,DRILLING CANCELLED,,,,,,
C7195,C7195,CANCELLED SITE,DRILLING CANCELLED,,,,,,
C7196,C7196,CANCELLED SITE,DRILLING CANCELLED,,,,,,
C7197,C7197,CANCELLED SITE,DRILLING CANCELLED,,,,,,
C7198,C7198,CANCELLED SITE,DRILLING CANCELLED,,,,,,
C7199,C7199,CANCELLED SITE,DRILLING CANCELLED,,,,,,
C7200,C7200,CANCELLED SITE,DRILLING CANCELLED,,,,,,
C7201,C7201,CANCELLED SITE,DRILLING CANCELLED,,,,,,
C7202,C7202,BORING,DECOMMISSIONED-V,12.5,,208.076,135639.858,566129.658,200-Z-1
C7203,C7203,CANCELLED SITE,DRILLING CANCELLED,,,,,,
C7204,C7204,BORING,DECOMMISSIONED-V,12.5,,208.084,135639.669,566140.11,200-Z-1
C7205,C7205,BORING,DECOMMISSIONED-V,12.5,,208.089,135639.849,566147.706,200-Z-1
C7206,C7206,BORING,DECOMMISSIONED-V,12.5,,208.118,135640.027,566155.293,200-Z-1
C7207,C7207,BORING,DECOMMISSIONED-V,12.5,,208.094,135639.982,566162.844,200-Z-1
C7208,C7208,BORING,DECOMMISSIONED-V,12.5,,208.092,135639.919,566170.474,200-Z-1
C7209,C7209,BORING,DECOMMISSIONED-V,12.5,,208.106,135640.071,566178.063,200-Z-1
C7210,C7210,BORING,DECOMMISSIONED-V,12.5,,208.101,135640.061,566185.659,200-Z-1
C7211,C7211,BORING,DECOMMISSIONED-V,12.5,,208.098,135640.034,566193.275,200-Z-1
C7212,C7212,BORING,DECOMMISSIONED-V,12.5,,208.087,135640.031,566200.916,200-Z-1
C7213,C7213,BORING,DECOMMISSIONED-V,12.5,,208.131,135640.1,566208.491,200-Z-1
C7214,C7214,BORING,DECOMMISSIONED-V,12.5,,208.124,135639.988,566216.125,200-Z-1
C7215,C7215,BORING,DECOMMISSIONED-V,12.5,,208.121,135640.019,566223.743,200-Z-1
C7216,C7216,BORING,DECOMMISSIONED-V,12.5,,208.073,135640.042,566231.374,200-Z-1
C7217,C7217,BORING,DECOMMISSIONED-V,12.5,,208.082,135640.075,566239.015,200-Z-1
C7218,C7218,BORING,DECOMMISSIONED-V,12.5,,208.024,135640.219,566246.625,200-Z-1
C7219,C7219,BORING,DECOMMISSIONED-V,12.5,,208.006,135640.22,566254.216,200-Z-1
C7220,C7220,BORING,DECOMMISSIONED-V,12.5,,207.996,135639.976,566258.31,200-Z-1
C7221,C7221,BORING,DECOMMISSIONED-V,21.9,,210.972,135640.168,566269.785,200-Z-1
C7222,C7222,BORING,DECOMMISSIONED-V,21.9,,210.773,135640.172,566277.359,200-Z-1
C7223,C7223,BORING,DECOMMISSIONED-V,21.9,,210.743,135640.102,566279.848,200-Z-1
C7224,C7224,BORING,DECOMMISSIONED-V,21.9,,210.755,135637.093,566279.839,200-Z-1
C7225,C7225,CANCELLED SITE,DRILLING CANCELLED,,,,,,
C7226,C7226,BORING,DECOMMISSIONED-V,12.5,,208.171,135632.054,566130.338,200-Z-1
C7227,C7227,BORING,DECOMMISSIONED-V,12.5,,208.101,135632.007,566137.91,200-Z-1
C7228,C7228,BORING,DECOMMISSIONED-V,12.5,,208.107,135632.075,566145.601,200-Z-1
C7229,C7229,CANCELLED SITE,DRILLING CANCELLED,,,,,,
C7230,C7230,BORING,DECOMMISSIONED-V,12.5,,208.043,135632.127,566160.698,200-Z-1
C7231,C7231,BORING,DECOMMISSIONED-V,12.5,,208.114,135632.165,566168.318,200-Z-1
C7232,C7232,BORING,DECOMMISSIONED-V,12.5,,208.082,135632.412,566175.95,200-Z-1
C7233,C7233,BORING,DECOMMISSIONED-V,12.5,,208.127,135632.135,566183.508,200-Z-1
C7234,C7234,BORING,DECOMMISSIONED-V,12.5,,208.139,135632.151,566191.188,200-Z-1
C7235,C7235,BORING,DECOMMISSIONED-V,12.5,,208.122,135632.204,566198.795,200-Z-1
C7236,C7236,BORING,DECOMMISSIONED-V,12.5,,208.164,135631.999,566206.2,200-Z-1
C7237,C7237,BORING,DECOMMISSIONED-V,12.5,,208.135,135632.096,566214.026,200-Z-1
C7238,C7238,BORING,DECOMMISSIONED-V,12.5,,208.175,135632.253,566221.644,200-Z-1
C7239,C7239,BORING,DECOMMISSIONED-V,12.5,,208.14,135632.181,566229.181,200-Z-1
C7240,C7240,BORING,DECOMMISSIONED-V,12.5,,208.17,135632.295,566237.008,200-Z-1
C7241,C7241,BORING,DECOMMISSIONED-V,12.5,,208.132,135632.214,566244.601,200-Z-1
C7242,C7242,BORING,DECOMMISSIONED-V,12.5,,208.114,135632.39,566252.265,200-Z-1
C7243,C7243,BORING,DECOMMISSIONED-V,12.5,,208.126,135632.454,566258.351,200-Z-1
C7244,C7244,BORING,DECOMMISSIONED-V,12.5,,211.061,135632.431,566267.658,200-Z-1
C7245,C7245,BORING,DECOMMISSIONED-V,21.9,,210.849,135632.452,566275.256,200-Z-1
C7246,C7246,BORING,DECOMMISSIONED-V,21.9,,210.77,135632.46,566279.888,200-Z-1
C7247,C7247,BORING,DECOMMISSIONED-V,26.5,,212.296,135639.708,566111.523,200-Z-1
C7248,C7248,BORING,DECOMMISSIONED-V,27,,212.097,135639.808,566118.979,200-Z-1
C7249,C7249,BORING,DECOMMISSIONED-V,27,,212.497,135632.033,566111.616,200-Z-1
C7250,C7250,BORING,DECOMMISSIONED-V,27,,212.372,135632.152,566119.197,200-Z-1
C7251,C7251,BORING,DECOMMISSIONED-V,12.5,,210.095,135712.482,566168.616,200-Z-1
C7252,C7252,BORING,DECOMMISSIONED-V,12.5,,210.043,135712.477,566171.038,200-Z-1
C7253,C7253,BORING,DECOMMISSIONED-V,12.5,,209.938,135712.524,566178.66,200-Z-1
C7254,C7254,BORING,DECOMMISSIONED-V,12.5,,209.842,135712.575,566186.289,200-Z-1
C7255,C7255,BORING,DECOMMISSIONED-V,12.5,,209.782,135712.868,566193.883,200-Z-1
C7256,C7256,BORING,DECOMMISSIONED-V,12.5,,209.64,135712.792,566201.482,200-Z-1
C7257,C7257,BORING,DECOMMISSIONED-V,12.5,,209.502,135712.827,566209.108,200-Z-1
C7258,C7258,BORING,DECOMMISSIONED-V,12.5,,209.399,135712.862,566216.752,200-Z-1
C7259,C7259,BORING,DECOMMISSIONED-V,12.5,,209.282,135712.853,566224.4,200-Z-1
C7260,C7260,BORING,DECOMMISSIONED-V,12.5,,209.133,135712.92,566232.02,200-Z-1
C7261,C7261,BORING,DECOMMISSIONED-V,12.5,,209.059,135712.781,566239.594,200-Z-1
C7262,C7262,BORING,DECOMMISSIONED-V,12.5,,208.938,135712.689,566247.202,200-Z-1
C7263,C7263,BORING,DECOMMISSIONED-V,12.5,,208.721,135712.803,566262.217,200-Z-1
C7264,C7264,BORING,DECOMMISSIONED-V,12.5,,208.63,135712.918,566269.816,200-Z-1
C7265,C7265,BORING,DECOMMISSIONED-V,12.5,,208.544,135713.158,566277.442,200-Z-1
C7266,C7266,BORING,DECOMMISSIONED-V,13.7,,208.745,135710.267,566279.569,200-Z-1
C7267,C7267,BORING,DECOMMISSIONED-V,12.5,,210.207,135705.481,566168.994,200-Z-1
C7268,C7268,BORING,DECOMMISSIONED-V,12.5,,210.046,135705.454,566174.741,200-Z-1
C7269,C7269,BORING,DECOMMISSIONED-V,12.5,,209.942,135705.531,566182.408,200-Z-1
C7270,C7270,BORING,DECOMMISSIONED-V,12.5,,209.797,135705.55,566190.028,200-Z-1
C7271,C7271,BORING,DECOMMISSIONED-V,12.5,,209.698,135705.551,566197.634,200-Z-1
C7272,C7272,BORING,DECOMMISSIONED-V,12.5,,209.576,135705.597,566205.242,200-Z-1
C7273,C7273,BORING,DECOMMISSIONED-V,12.5,,209.523,135705.597,566212.867,200-Z-1
C7274,C7274,BORING,DECOMMISSIONED-V,12.5,,209.429,135705.514,566220.499,200-Z-1
C7275,C7275,BORING,DECOMMISSIONED-V,12.5,,209.329,135705.439,566228.163,200-Z-1
C7276,C7276,BORING,DECOMMISSIONED-V,12.5,,209.171,135705.327,566235.779,200-Z-1
C7277,C7277,BORING,DECOMMISSIONED-V,12.5,,209.009,135705.494,566249.046,200-Z-1
C7278,C7278,BORING,DECOMMISSIONED-V,12.5,,208.722,135705.551,566258.586,200-Z-1
C7279,C7279,BORING,DECOMMISSIONED-V,12.5,,208.558,135705.61,566266.173,200-Z-1
C7280,C7280,BORING,DECOMMISSIONED-V,12.5,,208.501,135705.569,566273.795,200-Z-1
C7281,C7281,BORING,DECOMMISSIONED-V,13.7,,208.903,135705.699,566279.585,200-Z-1
C7282,C7282,BORING,DECOMMISSIONED-V,32.7,,208.074,135639.759,566133.989,200-Z-1
C7283,C7283,BORING,DECOMMISSIONED-V,32.7,,208.118,135639.903,566152.328,200-Z-1
C7284,C7284,BORING,DECOMMISSIONED-V,32.7,,208.125,135632.042,566133.978,200-Z-1
C7285,C7285,BORING,DECOMMISSIONED-V,32.7,,208.096,135632.185,566152.331,200-Z-1
C7286,C7286,BORING,DECOMMISSIONED-V,32.7,,208.979,135712.832,566242.694,200-Z-1
C7287,C7287,BORING,DECOMMISSIONED-V,35.2,,209.524,135712.81,566253.99,200-Z-1
C7288,C7288,BORING,DECOMMISSIONED-V,35.2,,209.468,135705.586,566254.009,200-Z-1
C7289,C7289,BORING,DECOMMISSIONED-V,32.7,,209.068,135705.546,566242.744,200-Z-1
C7290,C7290,BORING,DECOMMISSIONED-V,32.7,,208.012,135640.062,566257.708,200-Z-1
C7291,C7291,BORING,DECOMMISSIONED-V,32.7,,208.09,135632.011,566140.846,200-Z-1
C7292,C7292,GROUNDWATER WELL,CANDIDATE FOR DECOMMISSIONING,48,46.9,135.42,148002.58,570948.63,100-KR-4
C7465,C7465,INSTRUMENT BORING,IN-USE,202,,197.669,136559,575211.4,200-BP-5
C7466,C7466,VADOSE WELL,DECOMMISSIONED-V,135,,197.63,136559.2,575212,200-BP-5
