NAME,XCOORDS,YCOORDS,ZCOORDS
199-D5-116,572926.93,151222.35,145.2
199-D5-117,572922.94,151225.43,145.16
199-D5-118,572921.03,151224.45,145.11
199-D5-119,573306.17,151417.95,144.84
199-D5-12,573839.61,151557.19,144.16
199-D5-120,573377.18,151406.84,144.39
199-D5-121,573430.24,151399.27,144.5
199-D5-122,573300.25,151349.29,144.44
199-D5-123,573824.21,151639.41,144.6
199-D5-124,573816.42,151446.84,142.88
199-D5-125,573667.39,151746.18,144.73
199-D5-126,573705.71,151843.28,144.4
199-D5-127,572992.26,151428.31,144.49
199-D5-128,573622.4,151237.35,143.91
199-D5-129,573735.5,151465.13,144.13
199-D5-13,573535.52,151955.18,144.71
199-D5-130,574039.2,151928.51,143.07
199-D5-131,573684.39,152006.75,144.38
199-D5-132,573875.35,151586.87,145.07
199-D5-133,573731.55,151497.37,144.12
199-D5-134,573675.32,151862.46,144.33
199-D5-135,NA,NA,NA
199-D5-136,573109.85,151371.14,143.84
199-D5-137,573210.32,151348.73,143.92
199-D5-138,573332.09,151395.95,143.37
199-D5-139,573328.74,151348.21,143.1
199-D5-14,573789.63,151787.99,144.78
199-D5-140,573750.68,151778.82,144.62
199-D5-141,573243.43,151424.51,144.94
199-D5-142,573791.87,151563.26,143.22
199-D5-143,573701.53,151784.26,144.42
199-D5-144,573352.03,151404.83,144.55
199-D5-145,573215.62,151396.28,144.96
199-D5-146,573219.79,151345.59,144.78
199-D5-147,572993.13,151380.78,144.59
199-D5-148,573361.48,151083.48,143.83
199-D5-149,573327.62,151461.82,144.66
199-D5-15,573738.61,151673.75,144.73
199-D5-150,573429.42,151401.85,144.64
199-D5-151,573312.03,151391.88,139.97
199-D5-152,573300.18,151349.1,139.79
199-D5-153,573329.77,151992.82,143.58
199-D5-154,573632.26,151831.74,144.29
199-D5-155,573355.21,151346.65,121.66
199-D5-156,573335.08,151343.2,121.69
199-D5-157,573347.66,151358.83,121.62
199-D5-158,573358.48,151411.51,121.57
199-D5-159,573474.25,151910.82,144.06
199-D5-16,573917.45,151652.51,145.15
199-D5-160,573517.16,151429.17,144.37
199-D5-161,574066.87,151385.86,141.7
199-D5-17,573730.52,151322.83,144.11
199-D5-18,573861.7,151325.18,143.25
199-D5-19,573849.12,151243.19,142.68
199-D5-2,573476.59,151233.47,142.96
199-D5-20,573239.97,152030.15,143.73
199-D5-21,573847.09,151586.76,143.62
199-D5-22,573818.59,151515.74,143.41
199-D5-23,573768.38,151756.58,143.76
199-D5-24,573795.09,151734.42,143.91
199-D5-25,573789.64,151612.41,143.53
199-D5-26,573842.88,151537.73,143.69
199-D5-27,573551.62,151789.57,143.37
199-D5-28,573766.96,151552.63,143.46
199-D5-29,573847,151600,NA
199-D5-3,574069.05,151983.25,139.3
199-D5-30,573785.09,151254.34,143.17
199-D5-31,573390.8,151386.9,NA
199-D5-32,573372.04,151903.39,144.01
199-D5-33,573095.03,151714.54,144.19
199-D5-34,573240.42,151554.12,145.31
199-D5-35,NA,NA,NA
199-D5-36,572909.82,151746.32,143.85
199-D5-37,573092.23,151916.36,143.86
199-D5-38,572996.82,151545.59,144.69
199-D5-39,573142.85,151428.42,144.73
199-D5-40,573003.25,151272.01,144.71
199-D5-41,573358.16,151792.19,144.14
199-D5-42,573479.77,151622.67,144.16
199-D5-43,573179.97,151269.43,144.51
199-D5-44,572993.58,151835.73,143.43
199-D5-45,NA,NA,NA
199-D5-46,NA,NA,NA
199-D5-47,NA,NA,NA
199-D5-48,NA,NA,NA
199-D5-49,NA,NA,NA
199-D5-4A,573794.77,151982.54,143.57
199-D5-5,573916.69,151982.83,143.57
199-D5-50,NA,NA,NA
199-D5-51,NA,NA,NA
199-D5-52,NA,NA,NA
199-D5-53,NA,NA,NA
199-D5-54,NA,NA,NA
199-D5-55,NA,NA,NA
199-D5-56,NA,NA,NA
199-D5-57,NA,NA,NA
199-D5-58,NA,NA,NA
199-D5-59,NA,NA,NA
199-D5-6,573932,151952.39,143.87
199-D5-60,NA,NA,NA
199-D5-61,NA,NA,NA
199-D5-62,NA,NA,NA
199-D5-63,NA,NA,NA
199-D5-64,NA,NA,NA
199-D5-65,NA,NA,NA
199-D5-66,NA,NA,NA
199-D5-67,NA,NA,NA
199-D5-68,NA,NA,NA
199-D5-69,NA,NA,NA
199-D5-7,573962.41,151982.94,142.96
199-D5-70,NA,NA,NA
199-D5-71,NA,NA,NA
199-D5-72,NA,NA,NA
