NAME,OU,VAL,UNITS,EVENT,TYPE
199-D5-42,DX,0.0,gpm,9,Injection
199-D5-42,DX,0.0,gpm,10,Injection
199-D5-44,DX,0.0,gpm,1,Injection
199-D5-44,DX,0.0,gpm,2,Injection
199-D5-44,DX,0.0,gpm,3,Injection
199-D5-44,DX,0.0,gpm,4,Injection
199-D5-44,DX,0.0,gpm,5,Injection
199-D5-44,DX,0.0,gpm,6,Injection
199-D5-44,DX,0.0,gpm,7,Injection
199-D5-44,DX,0.0,gpm,8,Injection
199-D5-44,DX,0.0,gpm,9,Injection
199-D5-44,DX,0.0,gpm,10,Injection
199-D5-92,DX,-10.613575269578474,gpm,1,Extraction
199-D5-92,DX,-13.880927579775648,gpm,2,Extraction
199-D5-92,DX,-12.29908154198024,gpm,3,Extraction
199-D5-92,DX,-3.8641666665034675,gpm,4,Extraction
199-D5-92,DX,-10.976344086427138,gpm,5,Extraction
199-D5-92,DX,-10.9938194437689,gpm,6,Extraction
199-D5-92,DX,-10.784901434429166,gpm,7,Extraction
199-D5-92,DX,-11.189292113806719,gpm,8,Extraction
199-D5-92,DX,-9.629537036444706,gpm,9,Extraction
199-D5-92,DX,-8.44565412249715,gpm,10,Extraction
199-D6-1,DX,20.514135302826247,gpm,1,Injection
199-D6-1,DX,18.44303076017006,gpm,2,Injection
199-D6-1,DX,16.829704300187878,gpm,3,Injection
199-D6-1,DX,15.589675925818204,gpm,4,Injection
199-D6-1,DX,14.3144713255587,gpm,5,Injection
199-D6-1,DX,21.511689809127045,gpm,6,Injection
199-D6-1,DX,21.176008069961433,gpm,7,Injection
199-D6-1,DX,19.931451612334165,gpm,8,Injection
199-D6-1,DX,7.48212962890345,gpm,9,Injection
199-D6-1,DX,17.232997311666377,gpm,10,Injection
199-D6-2,DX,34.96023746226894,gpm,1,Injection
199-D6-2,DX,42.039732137779914,gpm,2,Injection
199-D6-2,DX,24.74117383162408,gpm,3,Injection
199-D6-2,DX,19.68562500649731,gpm,4,Injection
199-D6-2,DX,35.89422043179226,gpm,5,Injection
199-D6-2,DX,55.73108795588125,gpm,6,Injection
199-D6-2,DX,40.542338718548024,gpm,7,Injection
199-D6-2,DX,24.17148296654992,gpm,8,Injection
199-D6-2,DX,35.15516203950661,gpm,9,Injection
199-D6-2,DX,29.25911737699957,gpm,10,Injection
199-D7-3,DX,-20.53969534313329,gpm,1,Extraction
199-D7-3,DX,-20.88521826175106,gpm,2,Extraction
199-D7-3,DX,-18.547558247775445,gpm,3,Extraction
199-D7-3,DX,-15.064097221843724,gpm,4,Extraction
199-D7-3,DX,-15.350425626390864,gpm,5,Extraction
199-D7-3,DX,-20.734699080260253,gpm,6,Extraction
199-D7-3,DX,-18.829995522739264,gpm,7,Extraction
199-D7-3,DX,-19.824798383590245,gpm,8,Extraction
199-D7-3,DX,-20.94555556210585,gpm,9,Extraction
199-D7-3,DX,-20.346460568111926,gpm,10,Extraction
199-D7-4,DX,44.84397402307377,gpm,1,Injection
199-D7-4,DX,60.6174107142615,gpm,2,Injection
199-D7-4,DX,29.178741030433926,gpm,3,Injection
199-D7-4,DX,19.782638890575186,gpm,4,Injection
199-D7-4,DX,49.297401433131796,gpm,5,Injection
199-D7-4,DX,73.85900462403521,gpm,6,Injection
199-D7-4,DX,86.40017921172557,gpm,7,Injection
199-D7-4,DX,83.4997983838603,gpm,8,Injection
199-D7-4,DX,76.59398147777428,gpm,9,Injection
199-D7-4,DX,67.65098566442603,gpm,10,Injection
199-D7-5,DX,22.73725358035946,gpm,1,Injection
199-D7-5,DX,28.554538684297132,gpm,2,Injection
199-D7-5,DX,19.684318987568187,gpm,3,Injection
199-D7-5,DX,35.40831019211985,gpm,4,Injection
199-D7-5,DX,61.58705197597247,gpm,5,Injection
199-D7-5,DX,57.64701389074674,gpm,6,Injection
199-D7-5,DX,41.21762992162993,gpm,7,Injection
199-D7-5,DX,53.63763440255972,gpm,8,Injection
199-D7-5,DX,49.08965277037465,gpm,9,Injection
199-D7-5,DX,42.434162182405366,gpm,10,Injection
199-D7-6,DX,0.0,gpm,1,Extraction
199-D7-6,DX,0.0,gpm,2,Extraction
199-D7-6,DX,0.0,gpm,3,Extraction
199-D7-6,DX,0.0,gpm,4,Extraction
199-D7-6,DX,0.0,gpm,5,Extraction
199-D7-6,DX,0.0,gpm,6,Extraction
199-D7-6,DX,0.0,gpm,7,Extraction
199-D7-6,DX,0.0,gpm,8,Extraction
199-D7-6,DX,0.0,gpm,9,Extraction
199-D7-6,DX,0.0,gpm,10,Extraction
199-D8-53,DX,-21.565098573669175,gpm,1,Extraction
199-D8-53,DX,-21.6325892862962,gpm,2,Extraction
199-D8-53,DX,-20.827867389757614,gpm,3,Extraction
199-D8-53,DX,-14.120648147650332,gpm,4,Extraction
199-D8-53,DX,-21.002016137592285,gpm,5,Extraction
199-D8-53,DX,-21.271041672637104,gpm,6,Extraction
199-D8-53,DX,-16.548319892111373,gpm,7,Extraction
199-D8-53,DX,-20.629659502469483,gpm,8,Extraction
199-D8-53,DX,-21.300023144618372,gpm,9,Extraction
199-D8-53,DX,-20.51149193122734,gpm,10,Extraction
199-D8-55,DX,0.0,gpm,1,Extraction
199-D8-55,DX,0.0,gpm,2,Extraction
199-D8-55,DX,0.0,gpm,3,Extraction
199-D8-55,DX,0.0,gpm,4,Extraction
