SAMP_SITE_NAME,SAMP_DATE,STD_VALUE_RPTD
199-H4-86,2019-06-12,5.0
199-H4-86,2019-07-11,5.0
199-H4-86,2020-03-12,3.72
199-H4-86,2020-07-23,1.0
199-H4-86,2020-08-11,6.72
199-H4-86,2020-08-18,8.0
199-H4-86,2020-09-22,5.0
199-H4-86,2020-10-20,10.0
199-H4-86,2020-10-27,5.55
199-H4-86,2020-11-17,13.0
199-H4-86,2021-01-27,7.0
199-H4-86,2021-02-25,7.0
199-H4-86,2021-03-16,4.0
199-H4-86,2021-03-22,3.7
199-H4-86,2021-04-05,6.0
199-H4-86,2021-05-05,5.82
199-H4-86,2021-05-12,0.0
199-H4-86,2021-06-28,9.0
199-H4-86,2021-07-07,10.0
199-H4-86,2021-08-24,4.26
199-H4-88,2016-07-24,11.0
199-H4-88,2019-08-05,7.83
199-H4-88,2019-11-08,9.87
199-H4-88,2020-02-25,5.21
199-H4-88,2020-06-17,8.15
199-H4-88,2020-08-19,4.56
199-H4-88,2020-12-29,8.22
199-H4-88,2021-09-16,4.18
199-H4-89,2019-05-02,4.35
199-H4-89,2019-08-05,3.42
199-H4-89,2020-02-25,2.4
199-H4-89,2020-06-17,1.82
199-H4-89,2020-08-19,2.69
199-H4-89,2021-02-18,3.57
199-H4-89,2021-09-16,3.4
199-H3-2A,2014-12-12 00:00:00,1.5
199-H3-2A,2015-03-13 00:00:00,1.5
199-H3-2A,2015-05-29 00:00:00,1.55
199-H3-2A,2015-09-18 00:00:00,1.5
199-H3-2A,2015-12-03 00:00:00,1.5
199-H3-2A,2016-03-16 00:00:00,1.5
199-H3-2A,2016-06-15 00:00:00,1.5
199-H3-2A,2016-11-16 00:00:00,5.5
199-H3-2A,2017-11-03 00:00:00,1.9
199-H3-2A,2018-10-30 00:00:00,3.65
199-H3-25,2016-09-20 00:00:00,12.0
199-H3-25,2017-01-03 00:00:00,16.0
199-H3-25,2017-03-22 00:00:00,8.600000000000001
199-H3-25,2017-06-08 00:00:00,3.4
199-H3-25,2017-09-28 00:00:00,14.0
199-H3-25,2017-12-11 00:00:00,9.8
199-H3-25,2018-03-14 00:00:00,7.65
199-H3-25,2018-07-09 00:00:00,5.050000000000001
199-H3-25,2018-09-19 00:00:00,6.300000000000001
199-H3-25,2018-12-11 00:00:00,9.1
199-H3-26,2017-03-22 00:00:00,6.8
199-H3-26,2017-06-08 00:00:00,2.2
199-H3-26,2017-09-28 00:00:00,7.9
199-H3-26,2018-04-17 00:00:00,3.5
199-H3-26,2018-07-09 00:00:00,2.4000000000000004
199-H3-26,2018-09-19 00:00:00,4.75
199-H3-26,2018-12-11 00:00:00,4.9
199-H3-26,2019-03-07 00:00:00,7.085
199-H4-4,2015-02-24 00:00:00,2.1
199-H4-4,2015-06-10 00:00:00,5.9
199-H4-4,2015-08-12 00:00:00,7.5
199-H4-4,2016-02-24 00:00:00,1.9500000000000002
199-H4-4,2016-05-11 00:00:00,1.5
199-H4-4,2016-08-04 00:00:00,1.95
199-H4-4,2016-11-10 00:00:00,3.05
199-H4-4,2017-02-02 00:00:00,2.25
199-H4-4,2017-05-03 00:00:00,1.5
199-H4-4,2018-02-06 00:00:00,1.75
199-H4-4,2018-05-17 00:00:00,1.5
199-H4-4,2018-08-01 00:00:00,1.5
199-H4-4,2020-08-11 00:00:00,1.9
199-H4-5,2014-12-12 00:00:00,2.3
199-H4-5,2015-02-26 00:00:00,3.3
199-H4-5,2015-06-07 00:00:00,1.6
199-H4-5,2015-08-28 00:00:00,2.1500000000000004
199-H4-5,2015-12-01 00:00:00,4.35
199-H4-5,2016-03-14 00:00:00,3.2
199-H4-5,2016-06-15 00:00:00,3.25
199-H4-5,2016-12-07 00:00:00,3.8499999999999996
199-H4-5,2017-12-14 00:00:00,2.2
199-H4-5,2018-12-10 00:00:00,1.7999999999999998
199-H4-8,2014-03-10 00:00:00,8.0
199-H4-8,2014-11-05 00:00:00,3.1
199-H4-8,2015-12-01 00:00:00,3.45
199-H4-8,2016-11-15 00:00:00,3.75
199-H4-8,2017-05-03 00:00:00,1.85
199-H4-8,2017-11-10 00:00:00,1.5
199-H4-8,2018-11-13 00:00:00,1.5
199-H4-12A,2015-02-11 00:00:00,3.65
199-H4-12A,2015-05-04 00:00:00,14.1
