SAMP_SITE_NAME,SAMP_DATE_TIME,STD_VALUE_RPTD,REVIEW_QUALIFIER,COLLECTION_PURPOSE_DESC,LAB_CODE,SAMP_DATE
199-H4-84,2018-01-10 13:47:00,57.0,,"Routine (i.e., repetitive)",TARL,2018-01-10
199-H4-84,2018-02-12 12:16:00,86.0,,"Routine (i.e., repetitive)",TARL,2018-02-12
199-H4-84,2018-02-12 12:16:00,85.0,,"Routine (i.e., repetitive)",TARL,2018-02-12
199-H4-84,2018-03-20 10:36:00,28.0,,"Routine (i.e., repetitive)",TARL,2018-03-20
199-H4-84,2018-03-20 10:36:00,28.0,,"Routine (i.e., repetitive)",TARL,2018-03-20
199-H4-84,2018-04-26 10:48:00,22.0,,"Routine (i.e., repetitive)",TARL,2018-04-26
199-H4-84,2018-04-26 10:48:00,24.0,,"Routine (i.e., repetitive)",TARL,2018-04-26
199-H4-84,2018-05-17 10:05:00,6.0,,"Routine (i.e., repetitive)",TARL,2018-05-17
199-H4-84,2018-05-17 10:05:00,6.0,,"Routine (i.e., repetitive)",TARL,2018-05-17
199-H4-84,2018-06-20 09:27:00,49.0,,"Routine (i.e., repetitive)",TARL,2018-06-20
199-H4-84,2018-06-20 09:27:00,44.0,,"Routine (i.e., repetitive)",TARL,2018-06-20
199-H4-84,2018-07-26 08:23:00,31.0,,"Routine (i.e., repetitive)",TARL,2018-07-26
199-H4-84,2018-07-26 08:23:00,33.0,,"Routine (i.e., repetitive)",TARL,2018-07-26
199-H4-84,2018-08-16 09:45:00,23.0,,"Routine (i.e., repetitive)",TARL,2018-08-16
199-H4-84,2018-08-16 09:45:00,22.0,,"Routine (i.e., repetitive)",TARL,2018-08-16
199-H4-84,2018-09-12 10:34:00,12.0,,"Routine (i.e., repetitive)",TARL,2018-09-12
199-H4-84,2018-09-12 10:34:00,11.0,,"Routine (i.e., repetitive)",TARL,2018-09-12
199-H4-84,2018-11-13 11:39:00,18.0,,"Routine (i.e., repetitive)",TARL,2018-11-13
199-H4-84,2018-11-13 11:39:00,20.0,,"Routine (i.e., repetitive)",TARL,2018-11-13
199-H4-84,2019-03-07 11:13:00,14.0,,"Routine (i.e., repetitive)",TASL,2019-03-07
199-H4-84,2019-03-07 11:13:00,26.5,,"Routine (i.e., repetitive)",GEL,2019-03-07
