,NAME,SAMP_DATE_TIME,STD_VALUE_RPTD,tte
335,199-H4-64,2018-07-01,5.0,1673
336,199-H4-64,2018-08-01,2.25,1704
337,199-H4-64,2018-09-01,0.0,1734
338,199-H4-64,2019-05-01,3.045,1977
339,199-H4-64,2019-06-01,1.0,2007
340,199-H4-64,2019-07-01,3.0,2038
341,199-H4-64,2019-08-01,1.78,2069
342,199-H4-64,2019-12-01,1.785,2191
343,199-H4-64,2020-02-01,1.3,2251
344,199-H4-64,2020-08-01,0.0,2435
345,199-H4-64,2020-09-01,3.0,2465
346,199-H4-65,2014-02-01,20.3,59
347,199-H4-65,2015-02-01,1.5,424
348,199-H4-65,2015-05-01,17.9,516
349,199-H4-65,2015-08-01,1.5,608
350,199-H4-65,2015-12-01,6.5,730
351,199-H4-65,2016-02-01,9.4,790
352,199-H4-65,2016-05-01,4.9,882
353,199-H4-65,2016-11-01,6.6,1065
354,199-H4-65,2017-11-01,17.0,1430
355,199-H4-65,2018-11-01,9.6,1795
356,199-H4-65,2019-11-01,6.01,2160
357,199-H4-65,2020-11-01,4.73,2526
358,199-H4-84,2014-01-01,14.3,31
359,199-H4-84,2014-02-01,11.7,59
360,199-H4-84,2014-04-01,19.4,120
361,199-H4-84,2014-11-01,8.15,334
362,199-H4-84,2015-01-01,9.25,396
363,199-H4-84,2015-04-01,6.35,485
364,199-H4-84,2015-06-01,6.4,546
365,199-H4-84,2015-11-01,12.5,699
366,199-H4-84,2016-02-01,12.5,790
367,199-H4-84,2016-05-01,33.5,882
368,199-H4-84,2016-08-01,83.0,974
369,199-H4-84,2016-10-01,22.0,1035
370,199-H4-84,2016-11-01,42.0,1065
371,199-H4-84,2017-02-01,31.5,1155
372,199-H4-84,2017-03-01,35.5,1186
373,199-H4-84,2017-04-01,130.0,1216
374,199-H4-84,2017-05-01,6.85,1247
375,199-H4-84,2017-06-01,6.15,1277
376,199-H4-84,2017-07-01,110.0,1308
377,199-H4-84,2017-08-01,21.0,1339
378,199-H4-84,2017-09-01,11.5,1369
379,199-H4-84,2017-10-01,2.1,1400
380,199-H4-84,2017-11-01,1.75,1430
381,199-H4-84,2017-12-01,25.5,1461
382,199-H4-84,2018-01-01,53.5,1492
383,199-H4-84,2018-02-01,85.5,1520
384,199-H4-84,2018-03-01,28.0,1551
385,199-H4-84,2018-04-01,23.0,1581
386,199-H4-84,2018-05-01,6.0,1612
387,199-H4-84,2018-06-01,46.5,1642
388,199-H4-84,2018-07-01,32.0,1673
389,199-H4-84,2018-08-01,22.5,1704
390,199-H4-84,2018-09-01,11.5,1734
391,199-H4-84,2018-11-01,19.0,1795
392,199-H4-84,2019-03-01,20.25,1916
393,199-H4-84,2019-05-01,29.3,1977
394,199-H4-84,2019-08-01,44.9,2069
395,199-H4-84,2020-02-01,35.1,2251
396,199-H4-84,2020-06-01,72.5,2373
397,199-H4-84,2020-08-01,43.1,2435
398,199-H4-85,2014-02-01,19.65,59
399,199-H4-85,2015-02-01,20.8,424
400,199-H4-85,2015-05-01,19.55,516
401,199-H4-85,2015-08-01,19.0,608
402,199-H4-85,2015-11-01,17.0,699
403,199-H4-85,2016-02-01,14.5,790
404,199-H4-85,2016-05-01,5.75,882
405,199-H4-85,2016-10-01,8.899999999999997,1035
406,199-H4-85,2016-11-01,4.15,1065
407,199-H4-85,2017-02-01,3.2,1155
408,199-H4-85,2017-05-01,1.85,1247
409,199-H4-85,2018-02-01,4.35,1520
410,199-H4-85,2018-05-01,1.7,1612
411,199-H4-85,2018-11-01,6.5,1795
412,199-H4-85,2019-03-01,3.575,1916
413,199-H4-85,2019-05-01,1.7,1977
414,199-H4-85,2019-08-01,2.58,2069
415,199-H4-85,2019-12-01,3.65,2191
416,199-H4-85,2020-02-01,4.09,2251
417,199-H4-85,2020-06-01,2.08,2373
418,199-H4-85,2020-08-01,2.85,2435
419,199-H4-85,2020-12-01,2.5,2557
420,199-H4-86,2014-02-01,41.2,59
421,199-H4-86,2014-05-01,8.0,151
422,199-H4-86,2015-02-01,2.85,424
423,199-H4-86,2015-05-01,38.75,516
424,199-H4-86,2015-08-01,15.5,608
425,199-H4-86,2015-09-01,13.0,638
426,199-H4-86,2015-10-01,21.0,669
427,199-H4-86,2015-11-01,6.4,699
428,199-H4-86,2015-12-01,5.0,730
429,199-H4-86,2016-01-01,5.0,761
430,199-H4-86,2016-02-01,5.3,790
431,199-H4-86,2016-03-01,6.0,821
432,199-H4-86,2016-04-01,13.0,851
433,199-H4-86,2016-05-01,4.825,882
434,199-H4-86,2016-06-01,9.0,912
435,199-H4-86,2016-07-01,16.0,943
436,199-H4-86,2016-08-01,11.25,974
437,199-H4-86,2016-09-01,15.0,1004
438,199-H4-86,2016-10-01,10.0,1035
