"NAME"|"EVENT"|"VAL"|"TYPE"|"EASTING"|"NORTHING"
"199-D5-34"|3/7/2014 7:48:00|117.701|"MAN"|573240.420|151554.120
"199-D5-106"|3/7/2014 8:18:00|118.693|"MAN"|573503.740|151597.970
"199-D5-97"|3/7/2014 8:48:00|117.850|"MAN"|573250.110|151302.470
"199-D5-146"|3/7/2014 9:37:00|117.679|"MAN"|573219.790|151345.590
"199-D2-11"|3/7/2014 9:41:00|118.230|"MAN"|573328.160|151120.730
"199-D5-148"|3/7/2014 10:34:00|118.271|"MAN"|573361.480|151083.480
"199-D5-145"|3/7/2014 11:02:00|117.716|"MAN"|573215.620|151396.280
"199-D5-103"|3/7/2014 12:00:00|118.590|"MAN"|573505.870|151460.870
"199-D5-147"|3/7/2014 12:24:00|117.424|"MAN"|572993.130|151380.780
"199-H4-84"|3/10/2014 13:10:00|115.192|"MAN"|577902.580|152848.730
"699-88-41"|3/11/2014 12:45:00|117.332|"MAN"|577221.545|150333.764
"199-H4-45"|3/19/2014 8:13:00|115.411|"MAN"|578156.386|152433.394
"199-N-14"|3/19/2014 8:25:00|118.378|"MAN"|571713.100|150243.370
"199-H4-13"|3/19/2014 9:01:00|115.812|"MAN"|578219.304|152595.273
"199-H4-5"|3/19/2014 10:06:00|115.415|"MAN"|577944.937|152939.783
"199-H4-10"|3/19/2014 10:46:00|115.726|"MAN"|577827.209|153155.813
"199-H3-2A"|3/19/2014 12:09:00|115.626|"MAN"|577624.630|152750.040
"199-D5-15"|3/20/2014 12:56:00|118.834|"MAN"|573738.610|151673.750
"199-D2-11"|3/21/2014 7:48:00|118.203|"MAN"|573328.160|151120.730
"199-D5-34"|3/21/2014 7:58:00|117.705|"MAN"|573240.420|151554.120
"199-D4-25"|3/21/2014 8:28:00|117.338|"MAN"|572711.441|151476.238
"199-D5-97"|3/21/2014 9:10:00|117.811|"MAN"|573250.110|151302.470
"199-D4-22"|3/21/2014 9:21:00|117.107|"MAN"|572788.453|151539.293
"199-D5-103"|3/21/2014 9:23:00|118.734|"MAN"|573505.870|151460.870
"199-D5-40"|3/21/2014 9:40:00|117.630|"MAN"|573003.258|151272.017
"199-D5-43"|3/21/2014 9:54:00|117.875|"MAN"|573179.976|151269.430
"199-D5-145"|3/21/2014 10:01:00|117.496|"MAN"|573215.620|151396.280
"199-D5-147"|3/21/2014 10:09:00|117.385|"MAN"|572993.130|151380.780
"199-D5-41"|3/21/2014 10:26:00|117.823|"MAN"|573358.160|151792.191
"199-D5-133"|3/21/2014 10:29:00|119.184|"MAN"|573731.550|151497.370
"199-D5-106"|3/21/2014 10:31:00|118.863|"MAN"|573503.740|151597.970
"199-D5-17"|3/21/2014 10:39:00|118.954|"MAN"|573730.520|151322.830
"199-D4-23"|3/21/2014 10:53:00|117.885|"MAN"|572672.455|151592.870
"199-D5-148"|3/21/2014 11:00:00|118.247|"MAN"|573361.480|151083.480
"199-D5-146"|3/21/2014 11:24:00|117.644|"MAN"|573219.790|151345.590
"199-D4-62"|3/21/2014 11:27:00|117.594|"MAN"|572619.521|151351.066
"199-D3-2"|3/21/2014 12:43:00|118.225|"MAN"|572453.955|151165.653
"199-D5-38"|3/21/2014 12:46:00|117.188|"MAN"|572996.824|151545.593
"199-D5-123"|3/24/2014 7:54:00|118.575|"MAN"|573824.210|151639.410
"199-D5-126"|3/24/2014 8:14:00|118.185|"MAN"|573705.710|151843.280
"199-D5-125"|3/24/2014 8:58:00|118.408|"MAN"|573667.390|151746.180
"199-D8-5"|3/24/2014 10:09:00|117.355|"MAN"|573537.146|152243.497
"199-D5-43"|3/24/2014 13:27:00|117.883|"MAN"|573179.976|151269.430
"199-N-316"|3/26/2014 9:22:00|118.680|"MAN"|571558.240|150251.370
"199-N-315"|3/26/2014 10:35:00|118.710|"MAN"|571555.860|150247.530
"199-D5-40"|3/26/2014 10:49:00|117.673|"MAN"|573003.258|151272.017
