SAMP_SITE_NAME,SAMP_DATE,STD_VALUE_RPTD
199-H3-29,2020-10-27,143.0
199-H3-29,2020-11-12,143.0
199-H3-29,2021-01-20,140.0
199-H3-29,2021-02-09,130.0
199-H3-29,2021-03-10,147.0
199-H3-29,2021-04-13,157.0
199-H3-29,2021-05-05,130.0
199-H3-29,2021-05-17,146.0
199-H3-29,2021-06-28,128.0
199-H3-29,2021-07-07,119.0
199-H3-29,2021-08-24,108.0
199-H4-11,2014-02-21,7.7
199-H4-11,2014-05-05,8.0
199-H4-11,2014-08-01,9.0
199-H4-11,2020-11-11,3.4
199-H4-13,2014-03-19,8.2
199-H4-13,2014-09-26,8.0
199-H4-13,2019-11-12,14.2
199-H4-13,2020-11-09,5.68
199-H4-63,2014-01-02,11.0
199-H4-63,2014-02-03,7.0
199-H4-63,2014-04-01,12.0
199-H4-63,2014-04-17,8.6
199-H4-63,2014-05-12,6.0
199-H4-63,2014-06-04,6.0
199-H4-63,2014-06-24,9.0
199-H4-63,2014-08-05,13.0
199-H4-63,2014-09-04,13.0
199-H4-63,2014-10-02,11.0
199-H4-63,2014-11-04,9.0
199-H4-63,2014-12-02,9.0
199-H4-63,2014-12-16,11.7
199-H4-63,2015-01-06,9.0
