NAME,DATE,STD_VALUE_RPTD,REVIEW_QUALIFIER
199-D5-103,2015-03-24,184.0,
199-D5-103,2015-04-16,169.0,
199-D5-103,2015-04-16,168.0,
199-D5-103,2015-05-18,134.0,
199-D5-103,2015-05-18,138.0,
199-D5-103,2015-06-18,103.0,
199-D5-103,2015-06-18,106.0,
199-D5-103,2015-07-17,102.0,
199-D5-103,2015-07-17,103.0,
199-D5-103,2015-08-13,89.0,
199-D5-103,2015-09-11,78.0,
199-D5-103,2015-09-11,79.0,
199-D5-103,2015-10-09,45.0,Q
199-D5-103,2015-10-09,71.0,Q
199-D5-103,2015-10-09,60.0,
199-D5-103,2015-11-01,73.0,
199-D5-103,2015-11-01,75.0,
199-D5-103,2015-12-18,57.0,
199-D5-103,2015-12-18,58.0,
199-D5-103,2016-01-14,54.0,
199-D5-103,2016-01-14,57.0,
199-D5-103,2016-02-03,56.0,
199-D5-103,2016-03-14,53.0,
199-D5-103,2016-03-14,56.0,
199-D5-103,2016-04-11,54.0,
199-D5-103,2016-05-24,43.0,
199-D5-103,2016-05-24,44.0,
199-D5-103,2016-06-17,65.0,
199-D5-103,2016-07-20,45.0,
199-D5-103,2016-11-14,630.0,G
199-D5-103,2016-11-14,640.0,G
199-D5-103,2017-02-22,540.0,
199-D5-103,2017-04-14,280.0,
199-D5-103,2017-04-14,270.0,
199-D5-103,2017-05-02,240.0,
199-D5-103,2017-05-02,230.0,
199-D5-103,2017-05-02,250.0,
199-D5-103,2017-06-13,340.0,
199-D5-103,2017-06-13,330.0,
199-D5-103,2017-07-20,290.0,
199-D5-103,2017-07-20,280.0,
199-D5-103,2017-08-10,330.0,
199-D5-103,2017-09-22,530.0,
199-D5-103,2017-09-22,540.0,
199-D5-103,2017-10-19,660.0,
199-D5-103,2017-10-19,670.0,
199-D5-103,2017-11-16,640.0,
199-D5-103,2017-11-16,680.0,
199-D5-103,2017-12-08,720.0,
199-D5-103,2017-12-08,730.0,
199-D5-103,2018-01-17,800.0,
199-D5-103,2018-01-17,790.0,
199-D5-103,2018-02-21,430.0,
199-D5-103,2018-02-21,440.0,
199-D5-103,2018-03-19,250.0,
199-D5-103,2018-04-24,140.0,
199-D5-103,2018-05-16,90.0,
199-D5-103,2018-05-16,91.0,
199-D5-103,2018-06-27,67.0,
199-D5-103,2018-06-27,66.0,
199-D5-103,2018-09-20,230.0,
199-D5-103,2018-10-08,270.0,
199-D5-103,2018-10-11,248.0,
199-D5-103,2018-11-07,202.0,
199-D5-103,2018-11-14,181.0,
199-D5-103,2018-11-20,162.0,
199-D5-103,2018-11-29,156.0,
199-D5-103,2018-12-03,153.0,
199-D5-103,2018-12-11,141.0,
199-D5-103,2018-12-19,140.0,
199-D5-103,2018-12-27,131.0,
199-D5-103,2019-01-03,122.0,
199-D5-103,2019-01-10,125.0,
199-D5-103,2019-01-10,120.0,
199-D5-103,2019-01-16,122.0,
199-D5-103,2019-01-24,129.0,
199-D5-103,2019-01-28,116.0,
199-D5-103,2019-02-07,125.0,
199-D5-103,2019-02-21,125.0,
199-D5-103,2019-02-26,122.0,
199-D5-103,2019-03-06,116.0,
199-D5-103,2019-03-11,118.0,
199-D5-103,2019-03-18,107.0,
199-D5-103,2019-03-28,101.0,
199-D5-103,2019-04-01,104.0,
199-D5-103,2019-04-11,86.0,
199-D5-103,2019-04-15,84.0,
199-D5-103,2019-04-16,78.1,
199-D5-103,2019-04-22,75.0,
199-D5-103,2019-04-29,88.0,
199-D5-103,2019-05-09,68.0,
199-D5-103,2019-05-15,61.0,
199-D5-103,2019-05-21,55.0,
199-D5-103,2019-05-30,53.0,
199-D5-103,2019-06-06,51.0,
199-D5-103,2019-06-12,52.0,
199-D5-103,2019-06-17,50.0,
199-D5-103,2019-06-25,48.0,
199-D5-103,2019-07-01,42.0,
199-D5-103,2019-07-11,44.0,
199-D5-103,2019-07-17,39.0,
199-D5-103,2019-07-22,39.0,
199-D5-103,2019-07-29,35.2,
199-D5-103,2019-08-01,36.0,
199-D5-103,2019-08-05,38.0,
199-D5-103,2019-08-15,31.0,
199-D5-103,2019-08-19,33.0,
199-D5-103,2019-08-26,31.0,
199-D5-103,2019-09-09,30.0,
199-D5-103,2019-09-17,35.0,
199-D5-103,2019-10-07,30.0,
199-D5-103,2019-10-30,22.2,H
199-D5-103,2019-11-07,34.0,
199-D5-103,2019-12-16,16.0,
199-D5-103,2020-01-07,15.0,
199-D5-103,2020-01-14,21.3,H
199-D5-103,2020-02-13,25.0,
199-D5-103,2020-03-03,18.0,
199-D5-103,2020-08-31,25.9,
199-D5-103,2020-08-31,26.1,
199-D5-103,2020-09-23,37.0,
199-D5-103,2020-10-06,23.9,
199-D5-103,2020-10-15,42.0,
199-D5-103,2020-11-12,31.0,
199-D5-103,2021-01-13,22.8,H
199-D5-103,2021-01-21,32.0,
199-D5-103,2021-02-10,27.0,
199-D5-103,2021-03-10,28.0,
199-D5-103,2021-04-07,51.0,
199-D5-103,2021-04-13,72.9,H
199-D5-103,2021-05-12,103.0,
199-D5-103,2021-06-02,92.0,
199-D5-103,2021-07-13,89.98,
199-D5-103,2021-07-15,93.0,
199-D5-103,2021-08-26,71.0,
199-D5-103,2021-09-23,52.0,
199-D5-103,2021-10-19,41.8,
199-D5-103,2021-10-19,41.9,
199-D5-103,2021-10-27,50.0,
199-D5-103,2021-12-28,43.0,
199-D5-103,2023-09-28,34.8,
199-D5-103,2023-12-11,33.9,
199-D5-104,2007-03-22,6840.0,
199-D5-104,2007-04-09,5100.0,
199-D5-104,2007-04-09,5360.0,
199-D5-104,2007-04-09,5120.0,
199-D5-104,2007-04-09,5300.0,
199-D5-104,2007-04-09,5060.0,
199-D5-104,2007-04-09,4880.0,
199-D5-104,2007-04-09,5440.0,
199-D5-104,2007-04-09,4760.0,
199-D5-104,2007-04-09,5000.0,
199-D5-104,2007-04-09,4400.0,
199-D5-104,2007-04-24,6720.0,
199-D5-104,2007-05-17,7290.0,
199-D5-104,2007-05-31,7040.0,
199-D5-104,2007-06-11,6670.0,
199-D5-104,2007-06-25,7260.0,
199-D5-104,2007-07-09,6570.0,
199-D5-104,2007-07-24,5610.0,
199-D5-104,2007-08-09,5270.0,
199-D5-104,2007-08-09,5520.0,
199-D5-104,2007-08-22,6090.0,
199-D5-104,2007-09-05,4840.0,
199-D5-104,2007-09-19,5330.0,
199-D5-104,2007-10-04,6690.0,
199-D5-104,2007-10-18,8560.0,
199-D5-104,2007-11-01,9940.0,
199-D5-104,2007-11-15,10900.0,
199-D5-104,2007-11-29,10900.0,GH
199-D5-104,2007-12-13,11400.0,
199-D5-104,2007-12-27,12200.0,
199-D5-104,2008-01-11,11400.0,GH
